event_id,name,start_date,end_date,location
695,"European Youth Cup (L,S) - Edinburgh (GBR) 2011",2011-05-20,2011-05-22,Edinburgh
696,European Youth Cup (S) - Chamonix (FRA) 2011,2011-07-09,2011-07-10,Chamonix
697,European Youth Cup (S) - Friedrichshafen (GER) 2011,2011-07-14,2011-07-14,Friedrichshafen
698,"European Youth Cup (L,S) - Veliko Tarnovo (BUL) 2011",2011-08-01,2011-08-04,Veliko
699,European Youth Cup (L) - Imst (AUT) 2011,2011-08-12,2011-08-14,Imst
700,European Youth Cup (B) - Meran (ITA) 2011,2011-09-10,2011-09-11,Meran
701,European Youth Cup (B)- Munich (GER) 2011,2011-09-16,2011-09-17,Munich
702,European Youth Cup (L) - Pau (FRA) 2011,2011-11-11,2011-11-12,Pau
703,European Youth Cup (L)- Kranj (SLO) 2011,2011-11-26,2011-11-27,Kranj
707,Rheintal Cup - Kinder-Bouldertag Küblis (B),2011-03-06,2011-03-06,RC Kinder Küblis
709,Rheintal Cup - Junior Cup Dornbirn (L),2011-04-09,2011-04-09,RC Junior Dornbirn
715,"Intl. Youth Event - Petzen Climbing Trophy (L, S, B) - Petzen (AUT) 2011 ",2011-07-07,2011-07-08,Petzen Climbing
716,Promotional Event - Mammut Blocmaster - Innsbruck (AUT) 2011,2011-07-09,2011-07-10,Promo Mammut
717,Rockmaster Gala Duel - Arco (ITA) 2011,2011-07-23,2011-07-24,Rockmaster Duel
718,International Climbing Festival (under 14) - Veliko Tarnovo (BUL) 2011,2011-07-27,2011-07-29,Under14_Veliko
722,Rheintal Cup - Megusta-Kids-Cup (L),2011-09-24,2011-09-24,Megusta-Kids-Cup
723,Rheintal Cup - Megusta-Kids-Cup (S),2011-09-24,2011-09-24,Speed Megusta
725,Jiangyin Rock Master - Jiangyin (CHN) 2011,2011-10-15,2011-10-16,Jiangyin_11
726,Rheintal Cup Finale - Nikoloklettern Dornbirn (L),2011-12-03,2011-12-03,RC Nikoloklettern Do
727,"IFSC Climbing Worldcup (B,S) - Chongqing (CHN) 2012",2012-04-13,2012-04-14,Chongqing
728,IFSC Climbing Worldcup (B) - Log-Dragomer (SLO) 2012,2012-04-21,2012-04-22,Log-Dragomer
729,IFSC Climbing Worldcup (B) - Vienna (AUT) 2012,2012-04-27,2012-04-28,Vienna
730,IFSC Climbing Worldcup (B) - Innsbruck (AUT) 2012,2012-05-18,2012-05-19,Innsbruck
731,IFSC Climbing Worldcup (B) - Vail (USA) 2012 ,2012-06-01,2012-06-02,Vail
732,"IFSC Climbing Worldcup (L,S) - Chamonix (FRA) 2012",2012-07-12,2012-07-13,Chamonix
733,IFSC Climbing Worldcup (L) - Briançon (FRA) 2012,2012-07-20,2012-07-21,Briançon
734,IFSC Climbing Worldcup (S) - Val Daone (ITA) 2012,2012-07-28,2012-07-29,Daone
735,IFSC Climbing Worldcup (L) - Imst (AUT) 2012,2012-08-10,2012-08-11,Imst
736,IFSC Climbing Worldcup (B) - Munich (GER) 2012,2012-08-25,2012-08-26,Munich
737,IFSC Climbing Worldcup (S) - Arco (ITA) 2012,2012-09-01,2012-09-02,Arco
738,IFSC Climbing World Championship - Paris (FRA) 2012,2012-09-12,2012-09-16,WCH Paris
739,IFSC World Championship Lead Group A - Paris 2012,2012-09-11,2012-09-12,Paris
740,IFSC World Championship Lead Group B - Paris 2012,2012-09-11,2012-09-12,Paris
741,IFSC Climbing Worldcup (L) - Puurs (BEL) 2012,2012-09-21,2012-09-22,Puurs
742,IFSC Climbing Worldcup (L) - Atlanta (USA) 2012 ,2012-09-29,2012-09-30,Atlanta
743,"IFSC Climbing Worldcup (L,S) - Xining (CHN) 2012",2012-10-12,2012-10-13,Xining
744,"IFSC Climbing Worldcup (L,S) - Mokpo (KOR) 2012 ",2012-10-20,2012-10-21,Mokpo
745,IFSC Climbing Worldcup (L) - Inzai (JPN) 2012,2012-10-27,2012-10-28,Inzai
746,IFSC Climbing Worldcup (L) - Kranj (SLO) 2012,2012-11-17,2012-11-18,Kranj
747,IFSC World Youth Championship - Singapore (SIN) - 2012,2012-08-29,2012-09-01,YWCH Singapore
750,"Asian Continental Championship - Leye, Guangxi (CHN) 2012",2012-04-25,2012-04-28,Asian_Ch_12
752,Asian Youth Championship - Hamedan (IRI) 2012,2012-07-11,2012-07-13,Asian_Youth_Chp_12
753,"European Youth Cup (L,S) - Edinburgh (GBR) 2012",2012-05-18,2012-05-20,Edinburgh
754,"European Youth Cup (L,S) - Moscow (RUS) 2012",2012-05-25,2012-05-27,Moscow
755,European Youth Cup (B) - Grindelwald (SUI) 2012,2012-06-02,2012-06-03,Grindelwald
756,European Youth Cup (L) - Voiron (FRA) 2012,2012-06-09,2012-06-09,Voiron
757,European Youth Cup (L) - Linz (AUT) 2012,2012-06-30,2012-07-01,Linz
758,European Youth Cup (S) - Chamonix (FRA) 2012,2012-07-08,2012-07-08,Chamonix
